t,Zr,X1,X2
0,"0,019948975","0,017190546","0,01364683"
"0,001","0,019948975","0,017184282","0,013744238"
"0,002","0,019948975","0,017178017","0,013841646"
"0,003","0,019948975","0,017181177","0,013939053"
"0,004","0,019948975","0,017174912","0,014036461"
"0,005","0,019948975","0,017173518","0,014138739"
"0,006","0,019948975","0,017167253","0,014236147"
"0,007","0,019948975","0,017165859","0,014338425"
"0,008","0,019948975","0,017164464","0,014440703"
"0,009","0,019948975","0,01716307","0,014542982"
"0,01","0,019948975","0,017161675","0,01464526"
"0,011","0,019948975","0,017160281","0,014747538"
"0,012","0,019948975","0,017158887","0,014849816"
"0,013","0,019948975","0,017162363","0,014956965"
"0,014","0,019948975","0,017151544","0,015059243"
"0,015","0,019948975","0,01715502","0,015166391"
"0,016","0,019948975","0,017158496","0,01527354"
"0,017","0,019948975","0,017157101","0,015375818"
"0,018","0,019948975","0,017170002","0,015482967"
"0,019","0,019948975","0,017173478","0,015590115"
"0,02","0,019948975","0,017176954","0,015697264"
"0,021","0,019948975","0,0171853","0,015809283"
"0,022","0,019948975","0,017203071","0,015921302"
"0,023","0,019948975","0,017215972","0,01602845"
"0,024","0,019948975","0,017224319","0,016140469"
"0,025","0,019948975","0,01724209","0,016252488"
"0,026","0,019948975","0,017254991","0,016359637"
"0,027","0,019948975","0,017267891","0,016466785"
"0,028","0,019948975","0,017290217","0,016573934"
"0,029","0,019948975","0,017312858","0,016690823"
"0,03","0,019948975","0,017340054","0,016802842"
"0,031","0,019948975","0,017357826","0,016914861"
"0,032","0,019948975","0,017389892","0,01703175"
"0,033","0,019948975","0,017412217","0,017138899"
"0,034","0,019948975","0,017434543","0,017246047"
"0,035","0,019948975","0,017461739","0,017358066"
"0,036","0,019948975","0,017484065","0,017465215"
"0,037","0,019948975","0,017515815","0,017572364"
"0,038","0,019948975","0,017552436","0,017684382"
"0,039","0,019948975","0,017589056","0,017796401"
"0,04","0,019948975","0,017620807","0,01790355"
"0,041","0,019948975","0,017661982","0,018010699"
"0,042","0,019948975","0,017703157","0,018117847"
"0,043","0,019948975","0,017734907","0,018224996"
"0,044","0,019948975","0,017785507","0,018332144"
"0,045","0,019948975","0,017826682","0,018439293"
"0,046","0,019948975","0,017862987","0,018541571"
"0,047","0,019948975","0,017913587","0,018648719"
"0,048","0,019948975","0,017964187","0,018755868"
"0,049","0,019948975","0,018014787","0,018863017"
